1136;1692;1277;1736;2
367;1236;508;1280;2
548;1205;979;1241;2
548;1245;979;1281;2
548;1285;1003;1321;2
286;1709;1090;1745;2
392;775;922;819;2
534;872;781;916;2
387;921;927;965;2
427;1018;888;1062;2
373;1066;941;1110;2
1136;1692;1277;1736;3
367;1236;508;1280;3
548;1205;979;1241;3
548;1245;979;1281;3
548;1285;1003;1321;3
286;1709;1090;1745;3
392;775;922;819;3
534;872;781;916;3
387;921;927;965;3
427;1018;888;1062;3
373;1066;941;1110;3
1136;1692;1277;1736;4
367;1236;508;1280;4
548;1205;979;1241;4
548;1245;979;1281;4
548;1285;1003;1321;4
286;1709;1090;1745;4
392;775;922;819;4
534;872;781;916;4
387;921;927;965;4
427;1018;888;1062;4
373;1066;941;1110;4
1136;1692;1277;1736;5
367;1236;508;1280;5
548;1205;979;1241;5
548;1245;979;1281;5
548;1285;1003;1321;5
286;1709;1090;1745;5
392;775;922;819;5
534;872;781;916;5
387;921;927;965;5
427;1018;888;1062;5
373;1066;941;1110;5
1136;1692;1277;1736;6
367;1236;508;1280;6
548;1205;979;1241;6
548;1245;979;1281;6
548;1285;1003;1321;6
286;1709;1090;1745;6
392;775;922;819;6
534;872;781;916;6
387;921;927;965;6
427;1018;888;1062;6
373;1066;941;1110;6
1136;1692;1277;1736;7
367;1236;508;1280;7
548;1205;979;1241;7
548;1245;979;1281;7
548;1285;1003;1321;7
286;1709;1090;1745;7
392;775;922;819;7
534;872;781;916;7
387;921;927;965;7
427;1018;888;1062;7
373;1066;941;1110;7
1136;1692;1277;1736;8
367;1236;508;1280;8
548;1205;979;1241;8
548;1245;979;1281;8
548;1285;1003;1321;8
286;1709;1090;1745;8
392;775;922;819;8
534;872;781;916;8
387;921;927;965;8
427;1018;888;1062;8
373;1066;941;1110;8
1136;1692;1277;1736;9
367;1236;508;1280;9
548;1205;979;1241;9
548;1245;979;1281;9
548;1285;1003;1321;9
286;1709;1090;1745;9
392;775;922;819;9
534;872;781;916;9
387;921;927;965;9
427;1018;888;1062;9
373;1066;941;1110;9
1136;1692;1277;1736;11
367;1236;508;1280;11
548;1205;979;1241;11
548;1245;979;1281;11
548;1285;1003;1321;11
286;1709;1090;1745;11
392;775;922;819;11
534;872;781;916;11
387;921;927;965;11
427;1018;888;1062;11
373;1066;941;1110;11
1136;1692;1277;1736;12
367;1236;508;1280;12
548;1205;979;1241;12
548;1245;979;1281;12
548;1285;1003;1321;12
286;1709;1090;1745;12
392;775;922;819;12
534;872;781;916;12
387;921;927;965;12
427;1018;888;1062;12
373;1066;941;1110;12
1136;1692;1277;1736;13
367;1236;508;1280;13
548;1205;979;1241;13
548;1245;979;1281;13
548;1285;1003;1321;13
286;1709;1090;1745;13
392;775;922;819;13
534;872;781;916;13
387;921;927;965;13
427;1018;888;1062;13
373;1066;941;1110;13
1136;1692;1277;1736;14
367;1236;508;1280;14
548;1205;979;1241;14
548;1245;979;1281;14
548;1285;1003;1321;14
286;1709;1090;1745;14
392;775;922;819;14
534;872;781;916;14
387;921;927;965;14
427;1018;888;1062;14
373;1066;941;1110;14
1136;1692;1277;1736;15
367;1236;508;1280;15
548;1205;979;1241;15
548;1245;979;1281;15
548;1285;1003;1321;15
286;1709;1090;1745;15
392;775;922;819;15
534;872;781;916;15
387;921;927;965;15
427;1018;888;1062;15
373;1066;941;1110;15
1136;1692;1277;1736;16
367;1236;508;1280;16
548;1205;979;1241;16
548;1245;979;1281;16
548;1285;1003;1321;16
286;1709;1090;1745;16
392;775;922;819;16
534;872;781;916;16
387;921;927;965;16
427;1018;888;1062;16
373;1066;941;1110;16
1136;1692;1277;1736;17
367;1236;508;1280;17
548;1205;979;1241;17
548;1245;979;1281;17
548;1285;1003;1321;17
286;1709;1090;1745;17
392;775;922;819;17
534;872;781;916;17
387;921;927;965;17
427;1018;888;1062;17
373;1066;941;1110;17
1136;1692;1277;1736;18
367;1236;508;1280;18
548;1205;979;1241;18
548;1245;979;1281;18
548;1285;1003;1321;18
286;1709;1090;1745;18
392;775;922;819;18
534;872;781;916;18
387;921;927;965;18
427;1018;888;1062;18
373;1066;941;1110;18
642;1801;668;1835;19
122;57;343;87;19
129;295;503;359;19
709;389;738;463;19
83;815;740;850;19
102;1484;775;1518;19
119;814;523;847;19
769;817;1087;850;19
767;857;1085;890;19
767;897;1085;930;19
151;1477;325;1510;19
151;1517;327;1550;19
814;1544;1140;1577;19
814;1584;1139;1617;19
1045;303;1191;339;19
1087;1031;1233;1067;19
805;1488;911;1521;19
92;1019;733;1093;19
92;388;121;462;19
151;134;283;217;19
929;57;1150;87;20
642;1800;668;1834;20
82;782;724;823;20
81;1489;95;1523;20
123;782;474;815;20
123;821;361;854;20
749;777;1094;810;20
749;817;961;850;20
123;1490;335;1523;20
1061;303;1207;339;20
702;1490;716;1524;20
749;1495;855;1528;20
123;293;395;357;20
73;389;738;463;20
73;1014;738;1092;20
642;1801;668;1835;21
122;57;343;87;21
149;809;414;842;21
77;365;106;439;21
100;809;710;848;21
102;1467;726;1504;21
738;811;950;844;21
157;1469;475;1502;21
759;1467;918;1500;21
122;239;394;303;21
1024;168;1170;204;21
684;365;713;439;21
73;1068;713;1142;21
1024;260;1170;296;21
818;187;953;220;21
710;282;951;315;21
1136;1692;1277;1736;22
367;1236;508;1280;22
548;1205;979;1241;22
548;1245;979;1281;22
548;1285;1003;1321;22
286;1709;1090;1745;22
392;775;922;819;22
534;872;781;916;22
387;921;927;965;22
427;1018;888;1062;22
373;1066;941;1110;22
